3,111111111 000000000 000000000
5,111011111 000100000 000000000
6,111010111 000100000 000001000
7,111010011 000100100 000001000
8,111010001 000100100 000001010
0,111010000 000100101 000001010
2,011010000 000100101 100001010
1,010010000 001100101 100001010
4,000010000 001100101 110001010
6,111111111 000000000 000000000
7,111111011 000000100 000000000
8,111111001 000000100 000000010
4,111111000 000000101 000000010
3,111101000 000000101 000010010
1,111001000 000100101 000010010
6,111111111 000000000 000000000
5,111111011 000000100 000000000
8,111110011 000000100 000001000
1,111110010 000000101 000001000
3,101110010 000000101 010001000
7,101010010 000100101 010001000
4,101010000 000100101 010001010
2,101000000 000110101 010001010
0,100000000 000110101 011001010
0,111111111 000000000 000000000
2,011111111 100000000 000000000
3,010111111 100000000 001000000
1,010011111 100100000 001000000
8,000011111 100100000 011000000
7,000011110 100100001 011000000
6,000011100 100100001 011000010
4,111111111 000000000 000000000
3,111101111 000010000 000000000
6,111001111 000010000 000100000
1,111001011 000010100 000100000
7,101001011 000010100 010100000
2,101001001 000010110 010100000
8,100001001 000010110 011100000
4,111111111 000000000 000000000
8,111101111 000010000 000000000
3,111101110 000010000 000000001
2,111001110 000110000 000000001
6,110001110 000110000 001000001
5,110001010 000110100 001000001
8,111111111 000000000 000000000
3,111111110 000000001 000000000
5,111011110 000000001 000100000
2,111010110 000001001 000100000
7,110010110 000001001 001100000
0,110010100 000001011 001100000
6,010010100 000001011 101100000
2,111111111 000000000 000000000
8,110111111 001000000 000000000
7,110111110 001000000 000000001
4,110111100 001000010 000000001
6,110101100 001000010 000010001
0,110101000 001000110 000010001
8,111111111 000000000 000000000
1,111111110 000000001 000000000
6,101111110 000000001 010000000
3,101111010 000000101 010000000
7,101011010 000000101 010100000
7,111111111 000000000 000000000
6,111111101 000000010 000000000
1,111111001 000000010 000000100
0,101111001 010000010 000000100
3,001111001 010000010 100000100
8,001011001 010100010 100000100
2,001011000 010100010 100000101
5,000011000 011100010 100000101
4,000010000 011100010 100001101
8,111111111 000000000 000000000
6,111111110 000000001 000000000
4,111111010 000000001 000000100
7,111101010 000010001 000000100
2,111101000 000010001 000000110
3,110101000 001010001 000000110
1,110001000 001010001 000100110
0,100001000 011010001 000100110
8,111111111 000000000 000000000
3,111111110 000000001 000000000
2,111011110 000000001 000100000
4,110011110 001000001 000100000
5,110001110 001000001 000110000
4,111111111 000000000 000000000
8,111101111 000010000 000000000
6,111101110 000010000 000000001
1,111101010 000010100 000000001
0,101101010 000010100 010000001
2,001101010 100010100 010000001
3,000101010 100010100 011000001
4,111111111 000000000 000000000
8,111101111 000010000 000000000
3,111101110 000010000 000000001
0,111001110 000110000 000000001
7,011001110 000110000 100000001
6,011001100 000110010 100000001
5,011001000 000110010 100000101
5,111111111 000000000 000000000
2,111110111 000001000 000000000
7,110110111 000001000 001000000
8,110110101 000001010 001000000
3,110110100 000001010 001000001
1,110010100 000101010 001000001
4,100010100 000101010 011000001
8,111111111 000000000 000000000
6,111111110 000000001 000000000
1,111111010 000000001 000000100
5,101111010 010000001 000000100
3,101110010 010000001 000001100
2,101010010 010100001 000001100
7,100010010 010100001 001001100
4,100010000 010100011 001001100
8,111111111 000000000 000000000
2,111111110 000000001 000000000
0,110111110 000000001 001000000
5,010111110 100000001 001000000
3,010110110 100000001 001001000
6,010010110 100100001 001001000
1,010010010 100100001 001001100
7,000010010 110100001 001001100
4,000010000 110100001 001001110
5,111111111 000000000 000000000
7,111110111 000001000 000000000
4,111110101 000001000 000000010
0,111100101 000011000 000000010
8,011100101 000011000 100000010
1,011100100 000011001 100000010
3,001100100 000011001 110000010
2,111111111 000000000 000000000
3,110111111 001000000 000000000
7,110011111 001000000 000100000
4,110011101 001000010 000100000
5,110001101 001000010 000110000
1,110000101 001001010 000110000
8,100000101 001001010 010110000
7,111111111 000000000 000000000
6,111111101 000000010 000000000
1,111111001 000000010 000000100
3,101111001 010000010 000000100
8,101011001 010000010 000100100
2,101011000 010000011 000100100
5,100011000 010000011 001100100
4,100010000 010001011 001100100
4,111111111 000000000 000000000
5,111101111 000010000 000000000
3,111100111 000010000 000001000
2,111000111 000110000 000001000
1,110000111 000110000 001001000
7,100000111 010110000 001001000
0,100000101 010110000 001001010
8,000000101 110110000 001001010
3,111111111 000000000 000000000
1,111011111 000100000 000000000
8,101011111 000100000 010000000
6,101011110 000100001 010000000
5,101011010 000100001 010000100
4,101010010 000101001 010000100
2,101000010 000101001 010010100
0,111111111 000000000 000000000
6,011111111 100000000 000000000
1,011111011 100000000 000000100
2,001111011 110000000 000000100
8,000111011 110000000 001000100
3,000111010 110000001 001000100
7,000011010 110000001 001100100
4,000011000 110000011 001100100
2,111111111 000000000 000000000
3,110111111 001000000 000000000
1,110011111 001000000 000100000
6,100011111 011000000 000100000
0,100011011 011000000 000100100
6,111111111 000000000 000000000
1,111111011 000000100 000000000
3,101111011 000000100 010000000
7,101011011 000100100 010000000
4,101011001 000100100 010000010
0,101001001 000110100 010000010
2,001001001 000110100 110000010
0,111111111 000000000 000000000
8,011111111 100000000 000000000
4,011111110 100000000 000000001
6,011101110 100010000 000000001
2,011101010 100010000 000000101
5,010101010 101010000 000000101
1,010100010 101010000 000001101
2,111111111 000000000 000000000
1,110111111 001000000 000000000
7,100111111 001000000 010000000
0,100111101 001000010 010000000
6,000111101 001000010 110000000
4,000111001 001000110 110000000
5,000101001 001000110 110010000
8,000100001 001001110 110010000
6,111111111 000000000 000000000
8,111111011 000000100 000000000
7,111111010 000000100 000000001
4,111111000 000000110 000000001
3,111101000 000000110 000010001
1,111001000 000100110 000010001
0,101001000 000100110 010010001
7,111111111 000000000 000000000
2,111111101 000000010 000000000
6,110111101 000000010 001000000
4,110111001 000000110 001000000
3,110101001 000000110 001010000
8,110001001 000100110 001010000
5,110001000 000100110 001010001
1,110000000 000101110 001010001
0,100000000 000101110 011010001
1,111111111 000000000 000000000
0,101111111 010000000 000000000
2,001111111 010000000 100000000
6,000111111 011000000 100000000
4,000111011 011000000 100000100
8,000101011 011010000 100000100
5,000101010 011010000 100000101
7,000100010 011011000 100000101
0,111111111 000000000 000000000
5,011111111 100000000 000000000
4,011110111 100000000 000001000
2,011100111 100010000 000001000
6,010100111 100010000 001001000
3,010100011 100010100 001001000
7,010000011 100010100 001101000
8,010000001 100010110 001101000
8,111111111 000000000 000000000
3,111111110 000000001 000000000
1,111011110 000000001 000100000
2,101011110 010000001 000100000
7,100011110 010000001 001100000
6,100011100 010000011 001100000
0,100011000 010000011 001100100
5,000011000 110000011 001100100
4,000010000 110000011 001101100
7,111111111 000000000 000000000
6,111111101 000000010 000000000
1,111111001 000000010 000000100
0,101111001 010000010 000000100
3,001111001 010000010 100000100
5,001011001 010100010 100000100
4,001010001 010100010 100001100
1,111111111 000000000 000000000
8,101111111 010000000 000000000
5,101111110 010000000 000000001
0,101110110 010001000 000000001
2,001110110 010001000 100000001
3,000110110 011001000 100000001
7,000010110 011001000 100100001
4,000010100 011001010 100100001
5,111111111 000000000 000000000
6,111110111 000001000 000000000
1,111110011 000001000 000000100
0,101110011 010001000 000000100
3,001110011 010001000 100000100
4,001010011 010101000 100000100
2,001000011 010101000 100010100
7,000000011 011101000 100010100
8,000000001 011101000 100010110
4,111111111 000000000 000000000
2,111101111 000010000 000000000
3,110101111 000010000 001000000
6,110001111 000110000 001000000
7,110001011 000110000 001000100
1,110001001 000110010 001000100
0,100001001 000110010 011000100
5,000001001 100110010 011000100
8,000000001 100110010 011001100
7,111111111 000000000 000000000
2,111111101 000000010 000000000
1,110111101 000000010 001000000
3,100111101 010000010 001000000
4,100011101 010000010 001100000
7,111111111 000000000 000000000
6,111111101 000000010 000000000
0,111111001 000000010 000000100
1,011111001 100000010 000000100
3,001111001 100000010 010000100
2,001011001 100100010 010000100
4,000011001 100100010 011000100
5,000001001 100110010 011000100
8,000000001 100110010 011001100
6,111111111 000000000 000000000
8,111111011 000000100 000000000
1,111111010 000000100 000000001
7,101111010 010000100 000000001
3,101111000 010000100 000000011
5,101011000 010100100 000000011
2,101010000 010100100 000001011
0,100010000 011100100 000001011
4,000010000 011100100 100001011
6,111111111 000000000 000000000
5,111111011 000000100 000000000
0,111110011 000000100 000001000
2,011110011 100000100 000001000
8,010110011 100000100 001001000
4,010110010 100000101 001001000
7,010100010 100000101 001011000
7,111111111 000000000 000000000
2,111111101 000000010 000000000
3,110111101 000000010 001000000
6,110011101 000100010 001000000
0,110011001 000100010 001000100
1,010011001 100100010 001000100
4,000011001 100100010 011000100
5,000001001 100110010 011000100
8,000000001 100110010 011001100
8,111111111 000000000 000000000
3,111111110 000000001 000000000
0,111011110 000000001 000100000
4,011011110 100000001 000100000
2,011001110 100000001 000110000
5,010001110 101000001 000110000
1,111111111 000000000 000000000
4,101111111 010000000 000000000
6,101101111 010000000 000010000
3,101101011 010000100 000010000
7,101001011 010000100 000110000
0,101001001 010000110 000110000
5,001001001 010000110 100110000
